number,Date,Value
0,9/11/2016,621.65
1,9/12/2016,609.67
2,9/13/2016,610.92
3,9/14/2016,608.82
4,9/15/2016,610.38
5,9/16/2016,609.11
6,9/17/2016,607.04
7,9/18/2016,611.58
8,9/19/2016,610.19
9,9/20/2016,608.66
10,9/21/2016,598.88
11,9/22/2016,597.42
12,9/23/2016,594.08
13,9/24/2016,603.88
14,9/25/2016,601.74
15,9/26/2016,598.98
16,9/27/2016,605.96
17,9/28/2016,605.67
18,9/29/2016,603.85
19,9/30/2016,609.39
20,10/1/2016,614.82
21,10/2/2016,612.98
22,10/3/2016,611.85
23,10/4/2016,609.62
24,10/5/2016,607.18
25,10/6/2016,612.08
26,10/7/2016,617.21
27,10/8/2016,614.74
28,10/9/2016,615.65
29,10/10/2016,617.54
30,10/11/2016,614.77
31,10/12/2016,635.01
32,10/13/2016,635.96
33,10/14/2016,634.02
34,10/15/2016,637.94
35,10/16/2016,641.42
36,10/17/2016,638.97
37,10/18/2016,636.29
38,10/19/2016,629.25
39,10/20/2016,627.72
40,10/21/2016,631.92
41,10/22/2016,655.48
42,10/23/2016,653.25
43,10/24/2016,651.39
44,10/25/2016,655.31
45,10/26/2016,651.45
46,10/27/2016,682.22
47,10/28/2016,687.68
48,10/29/2016,685.91
49,10/30/2016,698.0
50,10/31/2016,702.0
51,11/1/2016,697.01
52,11/2/2016,733.33
53,11/3/2016,686.17
54,11/4/2016,683.69
55,11/5/2016,704.79
56,11/6/2016,712.0
57,11/7/2016,709.96
58,11/8/2016,708.97
59,11/9/2016,720.93
60,11/10/2016,721.5
61,11/11/2016,715.45
62,11/12/2016,703.71
63,11/13/2016,702.28
64,11/14/2016,706.46
65,11/15/2016,710.91
66,11/16/2016,711.73
67,11/17/2016,736.96
68,11/18/2016,747.52
69,11/19/2016,748.98
70,11/20/2016,729.06
71,11/21/2016,738.53
72,11/22/2016,736.97
73,11/23/2016,741.63
74,11/24/2016,737.45
75,11/25/2016,735.64
76,11/26/2016,733.67
77,11/27/2016,727.96
78,11/28/2016,727.31
79,11/29/2016,732.71
80,11/30/2016,742.69
81,12/1/2016,742.05
82,12/2/2016,772.43
83,12/3/2016,764.33
84,12/4/2016,762.97
85,12/5/2016,754.63
86,12/6/2016,756.62
87,12/7/2016,758.99
88,12/8/2016,769.72
89,12/9/2016,770.02
90,12/10/2016,769.08
91,12/11/2016,777.0
92,12/12/2016,777.0
93,12/13/2016,777.99
94,12/14/2016,774.89
95,12/15/2016,776.75
96,12/16/2016,775.88
97,12/17/2016,788.7
98,12/18/2016,788.4
99,12/19/2016,788.67
100,12/20/2016,793.09
101,12/21/2016,824.21
102,12/22/2016,834.97
103,12/23/2016,901.31
104,12/24/2016,891.61
105,12/25/2016,892.6
106,12/26/2016,897.33
107,12/27/2016,930.37
108,12/28/2016,930.34
109,12/29/2016,963.38
110,12/30/2016,952.15
111,12/31/2016,958.12
112,1/1/2017,997.72
113,1/2/2017,1015.97
114,1/3/2017,1013.42
115,1/4/2017,1126.76
116,1/5/2017,994.67
117,1/6/2017,999.65
118,1/7/2017,896.83
119,1/8/2017,908.14
120,1/9/2017,910.49
121,1/10/2017,906.05
122,1/11/2017,785.22
123,1/12/2017,780.92
124,1/13/2017,826.29
125,1/14/2017,817.91
126,1/15/2017,819.55
127,1/16/2017,830.5
128,1/17/2017,903.84
129,1/18/2017,906.6
130,1/19/2017,895.798875
131,1/20/2017,893.6210875
132,1/21/2017,895.64
133,1/22/2017,918.603625
134,1/23/2017,922.0736125
135,1/24/2017,919.97
136,1/25/2017,893.045625
137,1/26/2017,915.95625
138,1/27/2017,915.05
139,1/28/2017,920.31225
140,1/29/2017,915.933
141,1/30/2017,912.19
142,1/31/2017,964.706075
143,2/1/2017,979.703875
144,2/2/2017,983.42
145,2/3/2017,1013.0269999999999
146,2/4/2017,1030.999413
147,2/5/2017,1034.07
148,2/6/2017,1024.01375
149,2/7/2017,1050.11
150,2/8/2017,1052.84
151,2/9/2017,976.1030000000001
152,2/10/2017,999.1035
153,2/11/2017,997.59
154,2/12/2017,1000.604625
155,2/13/2017,999.877375
156,2/14/2017,1001.2
157,2/15/2017,1012.325988
158,2/16/2017,1035.208125
159,2/17/2017,1035.2
160,2/18/2017,1056.637138
161,2/19/2017,1052.779286
162,2/20/2017,1050.87
163,2/21/2017,1123.788429
164,2/22/2017,1123.2231880000002
165,2/23/2017,1130.01
166,2/24/2017,1174.86625
167,2/25/2017,1150.605714
