number,Date,USD (PM)
0,9/12/2016,1324.6
1,9/13/2016,1323.65
2,9/14/2016,1321.75
3,9/15/2016,1310.8
4,9/16/2016,1308.35
5,9/19/2016,1314.85
6,9/20/2016,1313.8
7,9/21/2016,1326.1
8,9/22/2016,1339.1
9,9/23/2016,1338.65
10,9/26/2016,1340.5
11,9/27/2016,1327.0
12,9/28/2016,1322.5
13,9/29/2016,1318.1
14,9/30/2016,1322.5
15,10/3/2016,1313.3
16,10/4/2016,1283.3
17,10/5/2016,1269.4
18,10/6/2016,1254.5
19,10/7/2016,1258.75
20,10/10/2016,1259.5
21,10/11/2016,1253.45
22,10/12/2016,1256.5
23,10/13/2016,1261.05
24,10/14/2016,1251.75
25,10/17/2016,1254.8
26,10/18/2016,1258.2
27,10/19/2016,1269.05
28,10/20/2016,1271.65
29,10/21/2016,1266.05
30,10/24/2016,1265.55
31,10/25/2016,1269.4
32,10/26/2016,1270.5
33,10/27/2016,1266.25
34,10/28/2016,1273.0
35,10/31/2016,1272.0
36,11/1/2016,1288.45
37,11/2/2016,1303.75
38,11/3/2016,1301.0
39,11/4/2016,1302.8
40,11/7/2016,1283.05
41,11/8/2016,1282.35
42,11/9/2016,1281.4
43,11/10/2016,1267.5
44,11/11/2016,1236.45
45,11/14/2016,1213.6
46,11/15/2016,1226.95
47,11/16/2016,1229.2
48,11/17/2016,1226.75
49,11/18/2016,1211.0
50,11/21/2016,1214.25
51,11/22/2016,1212.25
52,11/23/2016,1185.35
53,11/24/2016,1186.1
54,11/25/2016,1187.7
55,11/28/2016,1187.0
56,11/29/2016,1186.55
57,11/30/2016,1178.1
58,12/1/2016,1161.85
59,12/2/2016,1173.5
60,12/5/2016,1162.2
61,12/6/2016,1172.5
62,12/7/2016,1177.65
63,12/8/2016,1171.05
64,12/9/2016,1163.6
65,12/12/2016,1156.1
66,12/13/2016,1158.55
67,12/14/2016,1162.25
68,12/15/2016,1126.95
69,12/16/2016,1131.6
70,12/19/2016,1136.25
71,12/20/2016,1125.7
72,12/21/2016,1133.65
73,12/22/2016,1131.35
75,12/28/2016,1134.6
76,12/29/2016,1145.9
78,1/3/2017,1151.0
79,1/4/2017,1164.25
80,1/5/2017,1176.7
81,1/6/2017,1175.85
82,1/9/2017,1178.5
83,1/10/2017,1189.5
84,1/11/2017,1178.55
85,1/12/2017,1205.05
86,1/13/2017,1190.35
87,1/16/2017,1203.0
88,1/17/2017,1216.05
89,1/18/2017,1214.75
90,1/19/2017,1196.05
91,1/20/2017,1200.55
92,1/23/2017,1212.85
93,1/24/2017,1216.8
94,1/25/2017,1195.0
95,1/26/2017,1189.7
96,1/27/2017,1184.85
97,1/30/2017,1192.8
98,1/31/2017,1212.8
99,2/1/2017,1203.65
100,2/2/2017,1221.95
101,2/3/2017,1215.2
102,2/6/2017,1226.75
103,2/7/2017,1231.0
104,2/8/2017,1242.1
105,2/9/2017,1236.8
106,2/10/2017,1228.3
107,2/13/2017,1222.25
108,2/14/2017,1230.75
109,2/15/2017,1224.4
110,2/16/2017,1240.55
111,2/17/2017,1241.95
112,2/20/2017,1237.3
113,2/21/2017,1233.2
114,2/22/2017,1236.65
115,2/23/2017,1247.9
116,2/24/2017,1253.65
117,2/27/2017,1257.2
118,2/28/2017,1255.6
119,3/1/2017,1240.4
120,3/2/2017,1238.1
121,3/3/2017,1226.5
122,3/6/2017,1230.95
123,3/7/2017,1216.65
124,3/8/2017,1209.2
125,3/9/2017,1206.55
126,3/10/2017,1202.65
127,3/13/2017,1204.2
128,3/14/2017,1204.6
129,3/15/2017,1198.8
130,3/16/2017,1229.35
131,3/17/2017,1229.6
132,3/20/2017,1232.4
133,3/21/2017,1241.6
134,3/22/2017,1249.05
135,3/23/2017,1247.5
136,3/24/2017,1247.5
137,3/27/2017,1257.55
138,3/28/2017,1257.25
139,3/29/2017,1251.1
140,3/30/2017,1248.8
141,3/31/2017,1244.85
142,4/3/2017,1247.25
143,4/4/2017,1257.65
144,4/5/2017,1245.8
145,4/6/2017,1252.5
146,4/7/2017,1266.45
147,4/10/2017,1250.05
148,4/11/2017,1252.9
149,4/12/2017,1274.3
150,4/13/2017,1284.15
151,4/18/2017,1278.95
152,4/19/2017,1279.05
153,4/20/2017,1282.1
154,4/21/2017,1281.85
155,4/24/2017,1269.4
156,4/25/2017,1267.8
157,4/26/2017,1261.85
158,4/27/2017,1262.8
159,4/28/2017,1266.45
160,5/2/2017,1255.45
161,5/3/2017,1250.3
162,5/4/2017,1228.45
163,5/5/2017,1228.05
164,5/8/2017,1229.8
165,5/9/2017,1220.4
166,5/10/2017,1222.95
167,5/11/2017,1223.15
168,5/12/2017,1231.25
169,5/15/2017,1233.3
170,5/16/2017,1234.2
171,5/17/2017,1257.4
172,5/18/2017,1255.9
173,5/19/2017,1252.0
174,5/22/2017,1258.85
175,5/23/2017,1260.2
176,5/24/2017,1252.55
177,5/25/2017,1256.95
178,5/26/2017,1265.05
179,5/30/2017,1262.7
180,5/31/2017,1266.2
181,6/1/2017,1264.85
182,6/2/2017,1274.95
183,6/5/2017,1279.95
184,6/6/2017,1293.5
185,6/7/2017,1291.0
186,6/8/2017,1273.1
187,6/9/2017,1266.55
188,6/12/2017,1266.4
189,6/13/2017,1262.0
190,6/14/2017,1275.5
191,6/15/2017,1254.55
192,6/16/2017,1255.4
193,6/19/2017,1248.15
194,6/20/2017,1242.2
195,6/21/2017,1242.5
196,6/22/2017,1250.8
197,6/23/2017,1255.7
198,6/26/2017,1245.25
199,6/27/2017,1249.55
200,6/28/2017,1248.0
201,6/29/2017,1243.5
202,6/30/2017,1242.25
203,7/3/2017,1229.25
204,7/4/2017,1223.75
205,7/5/2017,1220.3
206,7/6/2017,1224.9
207,7/7/2017,1215.65
208,7/10/2017,1211.9
209,7/11/2017,1211.05
210,7/12/2017,1218.8
211,7/13/2017,1218.9
212,7/14/2017,1230.3
213,7/17/2017,1234.1
214,7/18/2017,1240.75
215,7/19/2017,1242.15
216,7/20/2017,1238.7
217,7/21/2017,1248.55
218,7/24/2017,1255.55
219,7/25/2017,1254.4
220,7/26/2017,1248.1
221,7/27/2017,1261.1
222,7/28/2017,1264.9
223,7/31/2017,1267.55
224,8/1/2017,1270.95
225,8/2/2017,1269.6
226,8/3/2017,1268.1
227,8/4/2017,1257.7
228,8/7/2017,1258.0
229,8/8/2017,1261.8
230,8/9/2017,1271.05
231,8/10/2017,1284.4
232,8/11/2017,1286.1
233,8/14/2017,1282.3
234,8/15/2017,1270.3
235,8/16/2017,1272.75
236,8/17/2017,1285.15
237,8/18/2017,1295.8
238,8/21/2017,1292.9
239,8/22/2017,1284.2
240,8/23/2017,1286.65
241,8/24/2017,1289.0
242,8/25/2017,1285.3
243,8/29/2017,1318.65
244,8/30/2017,1308.5
245,8/31/2017,1311.75
246,9/1/2017,1320.4
247,9/4/2017,1333.1
248,9/5/2017,1335.55
249,9/6/2017,1337.85
250,9/7/2017,1343.5
251,9/8/2017,1346.25
252,9/11/2017,1334.2
253,9/12/2017,1326.5
254,9/13/2017,1327.55
255,9/14/2017,1324.55
256,9/15/2017,1322.85
257,9/18/2017,1312.1
258,9/19/2017,1309.6
259,9/20/2017,1311.3
260,9/21/2017,1292.1
261,9/22/2017,1294.8
262,9/25/2017,1293.3
263,9/26/2017,1300.05
264,9/27/2017,1282.55
265,9/28/2017,1283.35
266,9/29/2017,1283.1
267,10/2/2017,1273.7
268,10/3/2017,1271.25
269,10/4/2017,1274.25
270,10/5/2017,1274.5
271,10/6/2017,1261.8
272,10/9/2017,1278.75
273,10/10/2017,1291.4
274,10/11/2017,1289.25
275,10/12/2017,1290.25
276,10/13/2017,1299.6
277,10/16/2017,1303.3
278,10/17/2017,1284.75
279,10/18/2017,1280.2
280,10/19/2017,1286.4
281,10/20/2017,1281.2
282,10/23/2017,1274.9
283,10/24/2017,1276.45
284,10/25/2017,1275.0
285,10/26/2017,1273.75
286,10/27/2017,1266.45
287,10/30/2017,1272.0
288,10/31/2017,1270.15
289,11/1/2017,1277.05
290,11/2/2017,1279.2
291,11/3/2017,1267.2
292,11/6/2017,1270.9
293,11/7/2017,1275.6
294,11/8/2017,1284.0
295,11/9/2017,1284.8
296,11/10/2017,1284.3
297,11/13/2017,1277.95
298,11/14/2017,1274.6
299,11/15/2017,1282.2
300,11/16/2017,1280.0
301,11/17/2017,1284.35
302,11/20/2017,1286.2
303,11/21/2017,1283.3
304,11/22/2017,1286.95
305,11/23/2017,1290.35
306,11/24/2017,1290.5
307,11/27/2017,1294.9
308,11/28/2017,1291.85
309,11/29/2017,1283.85
310,11/30/2017,1280.2
311,12/1/2017,1275.5
312,12/4/2017,1273.45
313,12/5/2017,1266.3
314,12/6/2017,1263.7
315,12/7/2017,1255.0
316,12/8/2017,1250.65
317,12/11/2017,1247.15
318,12/12/2017,1240.9
319,12/13/2017,1242.65
320,12/14/2017,1251.0
321,12/15/2017,1254.6
322,12/18/2017,1260.6
323,12/19/2017,1260.35
324,12/20/2017,1264.55
325,12/21/2017,1264.55
327,12/27/2017,1279.4
328,12/28/2017,1291.0
330,1/2/2018,1312.05
331,1/3/2018,1314.9
332,1/4/2018,1314.5
333,1/5/2018,1317.15
334,1/8/2018,1319.95
335,1/9/2018,1311.0
336,1/10/2018,1319.75
337,1/11/2018,1323.05
338,1/12/2018,1326.8
339,1/15/2018,1339.25
340,1/16/2018,1333.85
341,1/17/2018,1335.65
342,1/18/2018,1332.2
343,1/19/2018,1334.95
344,1/22/2018,1332.6
345,1/23/2018,1333.4
346,1/24/2018,1353.7
347,1/25/2018,1354.95
348,1/26/2018,1353.15
349,1/29/2018,1343.85
350,1/30/2018,1344.9
351,1/31/2018,1345.05
352,2/1/2018,1341.35
353,2/2/2018,1331.15
354,2/5/2018,1333.6
355,2/6/2018,1331.4
356,2/7/2018,1324.65
357,2/8/2018,1315.45
358,2/9/2018,1314.1
359,2/12/2018,1322.3
360,2/13/2018,1325.35
361,2/14/2018,1336.25
362,2/15/2018,1352.45
363,2/16/2018,1352.1
364,2/19/2018,1346.6
365,2/20/2018,1339.85
366,2/21/2018,1330.5
367,2/22/2018,1328.35
368,2/23/2018,1327.95
369,2/26/2018,1333.5
370,2/27/2018,1325.75
371,2/28/2018,1317.85
372,3/1/2018,1307.75
373,3/2/2018,1322.3
374,3/5/2018,1320.4
375,3/6/2018,1331.4
376,3/7/2018,1329.4
377,3/8/2018,1321.0
378,3/9/2018,1320.6
379,3/12/2018,1319.15
380,3/13/2018,1322.75
381,3/14/2018,1323.55
382,3/15/2018,1318.75
383,3/16/2018,1310.1
384,3/19/2018,1312.4
385,3/20/2018,1311.0
386,3/21/2018,1321.35
387,3/22/2018,1329.15
388,3/23/2018,1346.6
389,3/26/2018,1352.4
390,3/27/2018,1341.45
391,3/28/2018,1332.45
392,3/29/2018,1323.85
393,4/3/2018,1333.45
394,4/4/2018,1337.3
395,4/5/2018,1327.7
396,4/6/2018,1331.2
397,4/9/2018,1331.95
398,4/10/2018,1338.95
399,4/11/2018,1350.75
400,4/12/2018,1341.35
401,4/13/2018,1343.7
402,4/16/2018,1349.35
403,4/17/2018,1342.1
404,4/18/2018,1351.45
405,4/19/2018,1348.6
406,4/20/2018,1336.75
407,4/23/2018,1324.3
408,4/24/2018,1328.85
409,4/25/2018,1321.65
410,4/26/2018,1320.7
411,4/27/2018,1321.5
412,4/30/2018,1313.2
413,5/1/2018,1307.1
414,5/2/2018,1304.2
415,5/3/2018,1315.05
416,5/4/2018,1309.4
417,5/8/2018,1306.6
418,5/9/2018,1313.85
419,5/10/2018,1318.8
420,5/11/2018,1324.35
421,5/14/2018,1319.85
422,5/15/2018,1295.0
423,5/16/2018,1291.25
424,5/17/2018,1289.5
425,5/18/2018,1288.3
426,5/21/2018,1288.35
427,5/22/2018,1293.05
428,5/23/2018,1289.0
429,5/24/2018,1304.85
430,5/25/2018,1303.5
431,5/29/2018,1295.5
432,5/30/2018,1300.7
433,5/31/2018,1305.35
434,6/1/2018,1294.6
435,6/4/2018,1295.45
436,6/5/2018,1292.05
437,6/6/2018,1300.1
438,6/7/2018,1297.25
439,6/8/2018,1298.25
440,6/11/2018,1299.6
441,6/12/2018,1298.65
442,6/13/2018,1296.15
443,6/14/2018,1302.75
444,6/15/2018,1285.25
445,6/18/2018,1281.55
446,6/19/2018,1276.15
447,6/20/2018,1274.2
448,6/21/2018,1266.15
449,6/22/2018,1269.15
450,6/25/2018,1268.7
451,6/26/2018,1260.3
452,6/27/2018,1254.6
453,6/28/2018,1251.55
454,6/29/2018,1250.45
455,7/2/2018,1247.8
456,7/3/2018,1251.75
457,7/4/2018,1255.65
458,7/5/2018,1255.5
459,7/6/2018,1255.35
460,7/9/2018,1262.05
461,7/10/2018,1254.0
462,7/11/2018,1251.4
463,7/12/2018,1245.9
464,7/13/2018,1241.7
465,7/16/2018,1241.1
466,7/17/2018,1232.8
467,7/18/2018,1224.5
468,7/19/2018,1217.55
469,7/20/2018,1228.75
470,7/23/2018,1224.95
471,7/24/2018,1228.35
472,7/25/2018,1231.5
473,7/26/2018,1228.25
474,7/27/2018,1223.95
475,7/30/2018,1223.8
476,7/31/2018,1220.95
477,8/1/2018,1219.0
478,8/2/2018,1215.45
479,8/3/2018,1216.3
480,8/6/2018,1209.65
481,8/7/2018,1212.35
482,8/8/2018,1209.55
483,8/9/2018,1214.35
484,8/10/2018,1214.4
485,8/13/2018,1200.35
486,8/14/2018,1197.0
487,8/15/2018,1182.0
488,8/16/2018,1180.4
489,8/17/2018,1178.4
490,8/20/2018,1184.35
491,8/21/2018,1190.95
492,8/22/2018,1196.65
493,8/23/2018,1192.35
494,8/24/2018,1197.7
495,8/28/2018,1212.25
496,8/29/2018,1204.2
497,8/30/2018,1197.3
498,8/31/2018,1202.45
499,9/3/2018,1200.05
500,9/4/2018,1190.85
501,9/5/2018,1196.7
502,9/6/2018,1205.15
503,9/7/2018,1198.9
504,9/10/2018,1196.6
505,9/11/2018,1189.85
506,9/12/2018,1195.6
507,9/13/2018,1209.8
508,9/14/2018,1201.95
509,9/17/2018,1201.9
510,9/18/2018,1200.2
511,9/19/2018,1203.3
512,9/20/2018,1208.35
513,9/21/2018,1198.7
514,9/24/2018,1202.75
515,9/25/2018,1201.9
516,9/26/2018,1194.25
517,9/27/2018,1185.4
518,9/28/2018,1187.25
519,10/1/2018,1189.35
520,10/2/2018,1204.7
521,10/3/2018,1201.2
522,10/4/2018,1203.45
523,10/5/2018,1203.8
524,10/8/2018,1186.95
525,10/9/2018,1185.55
526,10/10/2018,1188.6
527,10/11/2018,1205.55
528,10/12/2018,1219.75
529,10/15/2018,1229.95
530,10/16/2018,1230.7
531,10/17/2018,1229.05
532,10/18/2018,1223.0
533,10/19/2018,1227.85
534,10/22/2018,1222.3
535,10/23/2018,1235.95
536,10/24/2018,1230.55
537,10/25/2018,1230.8
538,10/26/2018,1233.85
539,10/29/2018,1230.8
540,10/30/2018,1225.4
541,10/31/2018,1214.95
542,11/1/2018,1231.15
543,11/2/2018,1232.1
544,11/5/2018,1232.25
545,11/6/2018,1231.6
546,11/7/2018,1229.95
547,11/8/2018,1224.15
548,11/9/2018,1211.4
549,11/12/2018,1205.55
550,11/13/2018,1202.1
551,11/14/2018,1203.25
552,11/15/2018,1211.85
553,11/16/2018,1222.4
554,11/19/2018,1221.6
555,11/20/2018,1223.0
556,11/21/2018,1226.1
557,11/22/2018,1227.05
558,11/23/2018,1223.65
559,11/26/2018,1223.4
560,11/27/2018,1221.2
561,11/28/2018,1213.25
562,11/29/2018,1226.25
563,11/30/2018,1217.55
564,12/3/2018,1230.3
565,12/4/2018,1240.3
566,12/5/2018,1235.9
567,12/6/2018,1242.55
568,12/7/2018,1243.3
569,12/10/2018,1245.35
570,12/11/2018,1245.3
571,12/12/2018,1245.75
572,12/13/2018,1242.75
573,12/14/2018,1235.35
574,12/17/2018,1241.65
575,12/18/2018,1246.3
576,12/19/2018,1255.0
577,12/20/2018,1259.75
578,12/21/2018,1258.15
580,12/27/2018,1268.0
581,12/28/2018,1279.0
583,1/2/2019,1282.9
584,1/3/2019,1290.45
585,1/4/2019,1279.9
586,1/7/2019,1292.2
587,1/8/2019,1286.45
588,1/9/2019,1288.6
589,1/10/2019,1291.9
590,1/11/2019,1288.95
591,1/14/2019,1292.75
592,1/15/2019,1294.4
593,1/16/2019,1292.3
594,1/17/2019,1290.7
595,1/18/2019,1284.2
596,1/21/2019,1279.55
597,1/22/2019,1282.1
598,1/23/2019,1279.8
599,1/24/2019,1283.7
600,1/25/2019,1293.9
601,1/28/2019,1302.15
602,1/29/2019,1307.55
603,1/30/2019,1310.7
604,1/31/2019,1323.25
605,2/1/2019,1318.7
606,2/4/2019,1312.15
607,2/5/2019,1314.2
608,2/6/2019,1312.4
609,2/7/2019,1310.0
610,2/8/2019,1314.85
611,2/11/2019,1306.4
612,2/12/2019,1310.0
613,2/13/2019,1312.8
614,2/14/2019,1311.45
615,2/15/2019,1316.55
616,2/18/2019,1325.5
617,2/19/2019,1334.15
618,2/20/2019,1343.75
619,2/21/2019,1331.25
620,2/22/2019,1329.05
621,2/25/2019,1331.05
622,2/26/2019,1325.05
623,2/27/2019,1322.85
624,2/28/2019,1319.15
625,3/1/2019,1311.95
626,3/4/2019,1285.4
627,3/5/2019,1283.8
628,3/6/2019,1285.85
629,3/7/2019,1285.3
630,3/8/2019,1296.75
631,3/11/2019,1292.75
632,3/12/2019,1297.05
633,3/13/2019,1306.95
634,3/14/2019,1295.55
635,3/15/2019,1303.5
636,3/18/2019,1305.6
637,3/19/2019,1307.7
638,3/20/2019,1303.7
639,3/21/2019,1309.6
640,3/22/2019,1311.3
641,3/25/2019,1319.55
642,3/26/2019,1316.3
643,3/27/2019,1309.7
644,3/28/2019,1295.15
645,3/29/2019,1295.4
646,4/1/2019,1293.5
647,4/2/2019,1290.3
648,4/3/2019,1290.45
649,4/4/2019,1283.15
650,4/5/2019,1288.45
651,4/8/2019,1300.0
652,4/9/2019,1303.0
653,4/10/2019,1305.45
654,4/11/2019,1298.8
655,4/12/2019,1294.3
656,4/15/2019,1285.65
657,4/16/2019,1276.35
658,4/17/2019,1275.85
659,4/18/2019,1275.7
660,4/23/2019,1269.5
661,4/24/2019,1271.65
662,4/25/2019,1280.8
663,4/26/2019,1284.2
664,4/29/2019,1279.5
665,4/30/2019,1282.3
666,5/1/2019,1283.8
667,5/2/2019,1270.95
668,5/3/2019,1278.55
669,5/7/2019,1281.2
670,5/8/2019,1285.2
671,5/9/2019,1286.1
672,5/10/2019,1287.1
673,5/13/2019,1295.6
674,5/14/2019,1298.4
675,5/15/2019,1299.1
676,5/16/2019,1291.7
677,5/17/2019,1280.8
678,5/20/2019,1276.85
679,5/21/2019,1271.15
680,5/22/2019,1273.8
681,5/23/2019,1283.65
682,5/24/2019,1282.5
683,5/28/2019,1278.3
684,5/29/2019,1281.65
685,5/30/2019,1280.95
686,5/31/2019,1295.55
687,6/3/2019,1317.1
688,6/4/2019,1324.25
689,6/5/2019,1335.05
690,6/6/2019,1335.5
691,6/7/2019,1340.65
692,6/10/2019,1328.6
693,6/11/2019,1324.3
694,6/12/2019,1332.35
695,6/13/2019,1335.9
696,6/14/2019,1351.25
697,6/17/2019,1341.3
698,6/18/2019,1341.35
699,6/19/2019,1344.05
700,6/20/2019,1379.5
701,6/21/2019,1397.15
702,6/24/2019,1405.7
703,6/25/2019,1431.4
704,6/26/2019,1403.95
705,6/27/2019,1402.5
706,6/28/2019,1409.0
707,7/1/2019,1390.1
708,7/2/2019,1391.05
709,7/3/2019,1413.5
710,7/4/2019,1414.9
711,7/5/2019,1388.65
712,7/8/2019,1400.1
713,7/9/2019,1391.55
714,7/10/2019,1408.3
715,7/11/2019,1413.75
716,7/12/2019,1407.6
717,7/15/2019,1412.4
718,7/16/2019,1409.85
719,7/17/2019,1410.35
720,7/18/2019,1417.45
721,7/19/2019,1439.7
722,7/22/2019,1427.75
723,7/23/2019,1425.55
724,7/24/2019,1426.95
725,7/25/2019,1416.1
726,7/26/2019,1420.4
727,7/29/2019,1419.05
728,7/30/2019,1425.9
729,7/31/2019,1427.55
730,8/1/2019,1406.8
731,8/2/2019,1441.75
732,8/5/2019,1465.25
733,8/6/2019,1465.25
734,8/7/2019,1506.05
735,8/8/2019,1495.75
736,8/9/2019,1497.7
737,8/12/2019,1504.7
738,8/13/2019,1498.4
739,8/14/2019,1513.25
740,8/15/2019,1515.65
741,8/16/2019,1515.25
742,8/19/2019,1496.6
743,8/20/2019,1504.55
744,8/21/2019,1503.25
745,8/22/2019,1502.05
746,8/23/2019,1503.8
747,8/27/2019,1532.95
748,8/28/2019,1537.15
749,8/29/2019,1540.2
750,8/30/2019,1528.4
751,9/2/2019,1525.95
752,9/3/2019,1537.85
753,9/4/2019,1546.1
754,9/5/2019,1529.1
755,9/6/2019,1523.7
756,9/9/2019,1509.2
757,9/10/2019,1498.25
758,9/11/2019,1490.65
759,9/12/2019,1515.2
760,9/13/2019,1503.1
761,9/16/2019,1497.2
762,9/17/2019,1502.1
763,9/18/2019,1503.5
764,9/19/2019,1500.7
765,9/20/2019,1501.9
766,9/23/2019,1522.1
767,9/24/2019,1520.65
768,9/25/2019,1528.75
769,9/26/2019,1506.4
770,9/27/2019,1489.9
771,9/30/2019,1485.3
772,10/1/2019,1473.45
773,10/2/2019,1492.6
774,10/3/2019,1517.1
775,10/4/2019,1499.15
776,10/7/2019,1501.25
777,10/8/2019,1505.85
778,10/9/2019,1507.25
779,10/10/2019,1494.8
780,10/11/2019,1479.15
781,10/14/2019,1490.6
782,10/15/2019,1487.8
783,10/16/2019,1485.1
784,10/17/2019,1492.65
785,10/18/2019,1490.0
786,10/21/2019,1491.65
787,10/22/2019,1485.35
788,10/23/2019,1494.45
789,10/24/2019,1496.55
790,10/25/2019,1513.45
791,10/28/2019,1492.4
792,10/29/2019,1486.75
793,10/30/2019,1492.1
794,10/31/2019,1510.95
795,11/1/2019,1508.8
796,11/4/2019,1509.45
797,11/5/2019,1488.95
798,11/6/2019,1486.05
799,11/7/2019,1484.25
800,11/8/2019,1464.15
801,11/11/2019,1458.7
802,11/12/2019,1452.05
803,11/13/2019,1462.9
804,11/14/2019,1466.65
805,11/15/2019,1466.9
806,11/18/2019,1467.65
807,11/19/2019,1468.45
